Open,High,Low
6.9407,7.1858,6.9407
7.1251,7.2506,7.0995
7.2238,7.2378,7.0202
7.163,7.2193,6.9824
6.9869,7.1169,6.9069
7.0371,7.3092,7.0371
7.0885,7.2756,7.0654
7.145,7.2221,6.9651
7.0967,7.2135,6.765
6.8722,6.9484,6.74
6.8294,6.9883,6.8048
6.9538,6.9842,6.7451
6.7579,6.9906,6.7484
6.848,6.983,6.7818
6.9146,6.9473,6.8141
6.837,6.9792,6.821
6.8205,7.0125,6.7851
6.9875,7.0735,6.8717
7.0167,7.0488,6.8314
6.9639,6.973,6.5832
6.7622,6.8135,6.55
6.5538,6.7903,6.5421
6.6498,6.8155,6.6458
6.7619,6.7971,6.6134
6.725,6.7865,6.6068
6.6072,6.8244,6.5994
6.6501,6.8094,6.6382
6.6771,6.7004,6.5418
null,null,null
null,null,null
null,null,null
6.4994,6.5606,6.312
6.4086,6.4687,6.256
6.4108,6.4629,6.1893
6.197,6.5191,6.1667
6.2716,6.6302,6.2311
6.4966,6.6077,6.2238
6.4052,6.411,5.7073
5.7657,6.0171,5.6318
5.6313,5.8,5.2369
5.2271,5.7164,5.1923
5.4993,5.9418,5.4975
5.7254,5.835,5.4345
5.5705,5.6161,5.2221
5.328,5.6144,5.2164
5.4184,5.569,5.1937
5.3506,5.6095,5.3367
5.4492,5.7405,5.3382
5.5211,5.6974,5.4566
5.5657,5.7223,5.4456
5.5218,5.7959,5.5133
5.7422,5.7602,5.362
5.458,5.5071,5.3462
5.4902,5.6773,5.3534
5.4693,5.5747,5.398
5.5452,5.685,5.4094
5.5263,5.5495,5.3651
5.4026,5.5144,5.3468
5.3634,5.3915,5.2085
5.3072,5.3995,5.2263
5.2297,5.5752,5.2144
5.4804,5.594,5.4726
5.5076,5.5415,5.3662
5.5238,5.5836,5.4642
5.5473,5.6851,5.4818
5.6143,5.655,5.4501
5.6455,5.7356,5.5423
5.6247,5.8936,5.6158
5.7067,5.93,5.6896
5.7009,6.0856,5.6988
6.0603,6.2492,5.9266
6.2528,6.3132,6.0608
6.0748,6.2307,6.0403
6.1177,6.1232,5.8601
6.0415,6.0446,5.7701
5.9034,5.9595,5.7839
5.8771,5.9069,5.7426
5.8511,6.1315,5.8364
6.1546,6.3133,6.1523
6.2935,6.3334,6.2509
6.3938,6.3983,6.2852
6.2677,6.2756,6.1892
6.1626,6.3059,6.1572
6.3383,6.3405,6.1393
6.2324,6.2676,6.1354
