Open,High,Low
4.955418,5.01874,4.955418
4.988698,5.017223,4.963508
4.979554,4.998003,4.946551
4.946182,4.972331,4.897901
4.979408,5.008906,4.927527
4.999239,4.999239,4.862262
4.963907,5.044164,4.927819
5.049626,5.087626,5.000791
5.093023,5.099175,5.029058
5.047154,5.121691,5.020067
5.014816,5.076028,5.000328
5.043899,5.16736,5.019813
5.045222,5.194271,5.045222
5.138172,5.203667,5.102908
5.123366,5.250114,5.123366
5.212301,5.280532,5.195102
5.210437,5.279434,5.146852
5.246419,5.300252,5.219406
5.2847,5.33073,5.224454
5.249817,5.250284,5.111509
5.121827,5.181973,5.121197
5.142624,5.219489,5.137083
5.160163,5.207162,5.122772
5.13355,5.190518,5.110744
5.182084,5.259165,5.163385
5.223104,5.263939,5.206862
5.238132,5.283995,5.192887
5.204072,5.285934,5.203992
5.252146,5.278919,5.204123
5.212746,5.311185,5.212746
5.249873,5.320281,5.183811
5.259944,5.323188,5.224692
5.269784,5.33979,5.248893
5.245378,5.288517,5.163907
5.299798,5.299798,5.104854
5.14985,5.26109,5.123025
5.163992,5.225496,5.141667
5.169824,5.302758,5.169824
5.299055,5.357288,5.25581
5.329164,5.378206,5.257579
5.320144,5.408093,5.300825
5.36732,5.370925,5.262393
5.293862,5.367764,5.293862
5.339161,5.360725,5.186473
5.213299,5.213299,5.066448
5.076345,5.156729,5.054719
5.09081,5.144411,5.07242
5.09696,5.163082,5.074751
5.094508,5.101975,5.017692
5.079903,5.079903,4.979395
4.975572,5.065831,4.975572
5.049572,5.092986,5.030036
5.055617,5.072213,4.989353
5.050777,5.094882,5.007747
5.060302,5.124674,5.039524
5.093845,5.111371,5.04346
5.104618,5.122379,5.029365
